iter	Passed	Remaining
298	604	1417
299	605	1413
300	607	1410
301	608	1406
302	609	1403
303	611	1399
304	612	1396
305	614	1392
306	615	1389
307	616	1385
308	618	1382
309	619	1378
310	620	1375
311	622	1371
312	623	1368
313	624	1365
314	626	1361
315	627	1358
316	628	1354
317	630	1351
318	631	1348
319	633	1345
320	634	1341
321	635	1338
322	636	1334
323	638	1331
324	639	1328
325	641	1325
326	642	1322
327	644	1319
328	645	1316
329	646	1313
330	648	1309
331	649	1306
332	650	1303
333	652	1300
334	653	1296
335	654	1293
336	656	1290
337	657	1287
338	658	1284
339	660	1282
340	661	1279
341	663	1276
342	664	1273
343	666	1270
344	667	1267
345	669	1264
346	670	1261
347	671	1258
348	673	1255
349	674	1252
350	675	1249
351	677	1246
352	678	1243
353	680	1241
354	681	1238
355	683	1235
356	684	1232
357	685	1229
358	687	1226
359	688	1224
360	689	1221
361	691	1217
362	692	1214
363	694	1212
364	695	1210
365	697	1207
366	698	1205
367	700	1202
368	701	1199
369	702	1196
370	703	1193
371	705	1190
372	706	1187
373	709	1187
374	710	1184
375	711	1181
376	713	1178
377	714	1175
378	715	1172
379	716	1169
380	718	1166
381	719	1163
382	720	1161
383	722	1158
384	724	1156
385	725	1154
386	726	1151
387	728	1148
388	729	1145
389	730	1143
390	732	1140
391	733	1137
392	734	1134
393	736	1132
394	737	1129
395	738	1126
396	739	1123
397	741	1120
398	742	1118
399	743	1115
400	744	1112
401	746	1109
402	747	1107
403	748	1104
404	753	1106
405	754	1103
406	756	1102
407	757	1099
408	759	1097
409	760	1094
410	761	1091
411	763	1089
412	764	1087
413	766	1084
414	767	1081
415	768	1079
416	770	1076
417	771	1074
418	773	1071
419	774	1069
420	775	1066
421	777	1064
422	778	1061
423	779	1058
424	780	1056
425	781	1053
426	783	1051
427	784	1048
428	785	1045
429	787	1044
430	789	1041
431	790	1039
432	791	1036
433	792	1034
434	794	1031
435	795	1028
436	796	1026
437	797	1023
438	799	1021
439	800	1018
440	801	1016
441	803	1013
442	804	1011
443	805	1008
444	806	1006
445	807	1003
446	809	1001
447	810	998
448	811	995
449	813	993
450	814	991
451	816	989
452	818	987
453	819	985
454	820	982
455	821	980
456	823	978
457	824	975
458	825	973
459	827	970
460	828	968
461	829	965
462	830	963
463	832	961
464	833	959
465	835	957
466	836	955
467	838	953
468	840	951
469	841	949
470	843	946
471	844	944
472	845	942
473	847	939
474	848	937
475	849	935
476	850	932
477	852	930
478	853	928
479	854	925
480	856	923
481	857	921
482	858	919
483	859	916
484	861	914
485	862	912
486	863	909
487	864	907
488	866	905
489	867	903
490	869	900
491	870	898
492	871	896
493	873	894
494	874	892
495	876	890
496	877	888
497	878	885
498	879	883
499	881	881
500	882	878
501	883	876
502	884	874
503	886	872
504	887	869
505	889	868
506	890	865
507	891	863
508	892	861
509	893	858
510	895	856
511	896	854
512	897	852
513	899	850
514	900	848
515	902	846
516	903	844
517	904	842
518	906	840
519	908	838
520	909	836
521	911	834
522	912	832
523	914	830
524	915	828
525	917	826
526	918	824
527	919	822
528	921	820
529	922	818
530	924	816
531	925	814
532	926	812
533	928	809
534	929	807
535	930	805
536	932	803
537	933	801
538	934	799
539	935	797
540	937	795
541	938	792
542	939	790
543	940	788
544	942	786
545	943	784
546	944	782
547	946	780
548	947	778
549	948	776
550	950	774
551	951	772
552	952	770
553	953	768
554	955	765
555	956	763
556	958	761
557	959	759
558	960	757
559	961	755
560	962	753
561	964	751
562	965	749
563	966	747
564	967	745
565	969	743
566	970	740
567	971	738
568	972	736
569	973	734
570	975	732
571	976	730
572	978	728
573	979	726
574	980	724
575	981	722
576	983	720
577	984	718
578	986	716
579	987	715
580	988	713
581	990	711
582	991	709
583	992	707
584	994	705
585	995	703
586	996	701
587	998	699
588	999	697
589	1001	695
590	1002	693
591	1004	692
592	1005	690
593	1007	688
594	1008	686
595	1010	684
596	1011	682
597	1012	680
598	1014	678
599	1015	676
600	1016	674
601	1017	672
602	1018	670
603	1020	668
604	1021	666
605	1022	665
606	1024	663
607	1025	660
608	1026	658
609	1027	656
610	1028	655
611	1030	653
612	1031	650
613	1032	648
614	1033	646
615	1034	644
616	1036	643
617	1037	641
618	1038	639
619	1039	637
620	1040	635
621	1042	633
622	1043	631
623	1044	629
624	1045	627
625	1047	625
626	1048	623
627	1049	621
628	1050	619
629	1052	617
630	1053	616
631	1054	614
632	1055	612
633	1056	610
634	1058	608
635	1059	606
636	1060	604
637	1061	602
638	1062	600
639	1063	598
640	1065	596
641	1066	594
642	1067	592
643	1068	590
644	1070	589
645	1071	587
646	1072	585
647	1073	583
648	1074	581
649	1076	579
650	1077	577
651	1078	575
652	1079	573
653	1080	571
654	1081	569
655	1083	567
656	1084	566
657	1085	564
658	1086	562
659	1087	560
660	1089	558
661	1090	556
662	1091	554
663	1092	552
664	1094	551
665	1095	549
666	1096	547
667	1097	545
668	1099	543
669	1100	542
670	1101	540
671	1102	538
672	1104	536
673	1105	534
674	1106	532
675	1108	531
676	1109	529
677	1110	527
678	1112	525
679	1113	524
680	1115	522
681	1117	520
682	1118	519
683	1120	517
684	1121	515
685	1123	514
686	1124	512
687	1126	510
688	1127	509
689	1129	507
690	1130	505
691	1131	503
692	1133	502
693	1134	500
694	1135	498
695	1136	496
696	1138	494
697	1139	492
698	1140	491
699	1141	489
700	1142	487
701	1143	485
702	1144	483
703	1145	481
704	1147	480
705	1148	478
706	1149	476
707	1150	474
708	1151	472
709	1152	470
710	1153	469
711	1154	467
712	1155	465
713	1156	463
714	1158	461
715	1159	459
716	1160	458
717	1161	456
718	1162	454
719	1164	452
720	1165	450
721	1166	449
722	1167	447
723	1169	445
724	1170	443
725	1171	442
726	1172	440
727	1173	438
728	1175	436
729	1176	435
730	1177	433
731	1179	431
732	1180	429
733	1181	428
734	1182	426
735	1184	424
736	1185	423
737	1186	421
738	1187	419
739	1189	417
740	1190	416
741	1191	414
742	1192	412
743	1193	410
744	1195	409
745	1196	407
746	1198	405
747	1199	404
748	1200	402
749	1202	400
750	1203	399
751	1204	397
752	1206	395
753	1207	394
754	1208	392
755	1210	390
756	1211	388
757	1212	387
758	1213	385
759	1214	383
760	1215	381
761	1216	379
762	1217	378
763	1219	376
764	1220	374
765	1221	373
766	1222	371
767	1223	369
768	1224	367
769	1225	365
770	1226	364
771	1227	362
772	1228	360
773	1229	358
774	1230	357
775	1231	355
776	1233	353
777	1234	352
778	1235	350
779	1236	348
780	1237	346
781	1238	345
782	1239	343
783	1240	341
784	1241	339
785	1242	338
786	1243	336
787	1244	334
788	1245	333
789	1246	331
790	1247	329
791	1249	328
792	1250	326
793	1251	324
794	1252	322
795	1253	321
796	1254	319
797	1255	317
798	1256	316
799	1257	314
800	1258	312
801	1259	310
802	1260	309
803	1261	307
804	1262	305
805	1263	304
806	1264	302
807	1265	300
808	1266	299
809	1267	297
810	1268	295
811	1269	293
812	1270	292
813	1271	290
814	1272	288
815	1274	287
816	1275	285
817	1276	284
818	1277	282
819	1279	280
820	1280	279
821	1281	277
822	1282	275
823	1283	274
824	1284	272
825	1285	270
826	1286	269
827	1288	267
828	1289	266
829	1290	264
830	1291	262
831	1292	261
832	1294	259
833	1295	257
834	1296	256
835	1297	254
836	1298	252
837	1299	251
838	1300	249
839	1302	248
840	1303	246
841	1304	244
842	1305	243
843	1306	241
844	1307	239
845	1308	238
846	1309	236
847	1310	234
848	1311	233
849	1312	231
850	1313	230
851	1314	228
852	1315	226
853	1316	225
854	1318	223
855	1319	221
856	1320	220
857	1321	218
858	1322	217
859	1323	215
860	1323	213
861	1324	212
862	1325	210
863	1327	208
864	1327	207
865	1328	205
866	1330	204
867	1331	202
868	1333	200
869	1334	199
870	1335	197
871	1336	196
872	1338	194
873	1339	193
874	1340	191
875	1341	189
876	1343	188
877	1344	186
878	1345	185
879	1347	183
880	1348	182
881	1349	180
882	1350	178
883	1351	177
884	1353	175
885	1354	174
886	1355	172
887	1356	171
888	1357	169
889	1359	167
890	1360	166
891	1361	164
892	1362	163
893	1364	161
894	1365	160
895	1366	158
896	1367	156
897	1368	155
898	1369	153
899	1370	152
900	1371	150
901	1372	149
902	1374	147
903	1375	146
904	1376	144
905	1377	142
906	1378	141
907	1379	139
908	1381	138
909	1382	136
910	1383	135
911	1384	133
912	1385	132
913	1387	130
914	1388	128
915	1389	127
916	1391	125
917	1392	124
918	1393	122
919	1395	121
920	1396	119
921	1397	118
922	1399	116
923	1400	115
924	1402	113
925	1403	112
926	1405	110
927	1406	109
928	1408	107
929	1409	106
930	1411	104
931	1412	103
932	1414	101
933	1415	100
934	1416	98
935	1418	96
936	1419	95
937	1421	93
938	1422	92
939	1424	90
940	1425	89
941	1427	87
942	1428	86
943	1430	84
944	1431	83
945	1432	81
946	1434	80
947	1435	78
948	1437	77
949	1438	75
950	1439	74
951	1441	72
952	1442	71
953	1444	69
954	1445	68
955	1446	66
956	1448	65
957	1449	63
958	1450	62
959	1452	60
960	1453	58
961	1454	57
962	1455	55
963	1457	54
964	1458	52
965	1459	51
966	1461	49
967	1462	48
968	1463	46
969	1464	45
970	1466	43
971	1467	42
972	1468	40
973	1469	39
974	1471	37
975	1472	36
976	1473	34
977	1474	33
978	1475	31
979	1476	30
980	1477	28
981	1479	27
982	1480	25
983	1481	24
984	1482	22
985	1483	21
986	1485	19
987	1486	18
988	1487	16
989	1488	15
990	1489	13
991	1491	12
992	1492	10
993	1493	9
994	1494	7
995	1495	6
996	1496	4
997	1497	3
998	1499	1
999	1500	0
